Razão social,Website,CNPJ
CLADTEK DO BRASIL INDÚSTRIA E COMÉRCIO DE TUBOS E REVESTIMENTOS LTDA,https://cladtek.com,
"CADDELL CONSTRUCTION CO. (DE), LLC.",https://caddell.com/,48.059.363/0001-29
PAN MARINE DO BRASIL LTDA.,,42.519.082/0001-25
SWIFT TECHNICAL SERVIÇOS TÉCNICOS ESPECIALIZADOS LTDA.,,07.907.688/0001-37
"CADDELL CONSTRUCTION CO. (DE), LLC.",,48.059.363/0002-00
SPE TRANSMISSORA DE ENERGIA LINHA VERDE I S/A,,29.568.539/0001-23
MITSUI GÁS E ENERGIA DO BRASIL LTDA.,,
SINOCHEM PETRÓLEO BRASIL LTDA.,,
TTL SUBSEA,,
PETRO RIO JAGUAR PETROLEO S.A.,,
Empresa teste,,
MARITIME DEVELOPMENTS BRASIL LTDA.,,50.181.319/0001-39
ITALSOFA NORDESTE S.A.,,03.636.350/0001-37
DRILLTEC SERVIÇOS DE PERFURAÇÃO LTDA.,,15.069.951/0001-94
GEOMIT PARTICIPAÇÕES S.A.,,
DRAMMEN YARD,,
NORGÁS S.A.,,
SEACREST PETRÓLEO S.A.,,
W-INDUSTRIES,,
SIMTECH REPRESENTAÇÕES LTDA.,https://simtech.com.br/pt/,40.190.753/0001-21
EPPEI BRASIL TECNOLOGIA EM ENERGIA ELÉTRICA LTDA.,,
HEINRICH-BOLL-STIFTUNG,,
TACKER BR LTDA.,,
ENKA,,
TENNESSINE INSTRUMENTAÇÃO ANALÍTICA COMÉRCIO E SERVIÇOS LTDA.,,
IEC INSTALAÇÕES E ENGENHARIA DE CORROSÃO LTDA.,,
SINOPEC PETROLEUM DO BRASIL LTDA.,,
IC SUPPLY ENGENHARIA LTDA.,,
CONSÓRCIO KPS IC SUPPLY,,
AGROVALE GEOMIT BIOGAS LTDA.,,
